"evidence_id","title","category","authority","source_type","document_date","effective_date","expiry_date","completeness","text_status","source_url","accessed_date","local_path","pages","sha256","trust_tier","notes"
"GJ-CORP-2023-001","STT Ahmedabad DC1 factsheet","companies-and-filings","ST Telemedia Global Data Centres","company primary","2023","","","full","partial text layer","https://assets.sttelemediagdc.com/sttgdc/global_en/public/2023-08/STT-Ahmedabad-DC1.pdf","2026-07-19","evidence/companies-and-filings/GJ-CORP-2023-001__stt-ahmedabad-dc1-factsheet.pdf","2","081ed2d88b082e49ae5f86eda755462a18a577a5a08ad987381427417ce602a4","3","Facility factsheet; current operating details require re-verification."
"GJ-CORP-2026-001","Reliance and Meta to develop AI-enabled data centre in Jamnagar","companies-and-filings","Reliance Industries Limited","company press release","2026-06-10","","","full","embedded text","https://www.ril.com/sites/default/files/2026-06/10062026_MR_Reliance_and_Meta_to_Develop_AI-Enabled_Data_Centre_in_Jamnagar_Gujarat.pdf","2026-07-19","evidence/companies-and-filings/GJ-CORP-2026-001__reliance-meta-jamnagar-release.pdf","2","af82505b023588308569a8f5c0aa2a31d957c6cc48886f5c931a78caea6b5e14","3","Primary announcement; underlying agreement not public."
"GJ-CORP-2026-002","Meta partners with Reliance on AI-enabled data center in India","companies-and-filings","Meta Platforms","company webpage","2026-06-09","","","full page capture","HTML text","https://about.fb.com/news/2026/06/meta-partners-with-reliance-on-ai-enabled-data-center-in-india/","2026-07-19","evidence/companies-and-filings/GJ-CORP-2026-002__meta-reliance-jamnagar.html","","8e5fbb7becb8734a13dc9bf6ffa22f3e95d2a36689d98ac1fdff9af8702e2113","3","Primary counterpart account."
"GJ-CORP-2026-003","Data First Ahmedabad facility website","companies-and-filings","Data First","company webpage","","","","full page capture","HTML text","https://www.datafirst.in/","2026-07-19","evidence/companies-and-filings/GJ-CORP-2026-003__data-first-ahmedabad.html","","9c29b880dc6b960aa4e4430209f161a19c468e784f3803af27c6d580a674b405","3","Marketing claims require certification and operating-record corroboration."
"GJ-CONN-2025-001","January 2025 EOI for cable landing station in Gujarat","connectivity-and-market","Gujarat Informatics Limited / Directorate of ICT and e-Governance","official EOI","2025-01-08","","","full; superseded by July reissue","embedded text","https://gil.gujarat.gov.in/tendercms/TenderDocs/202537142531395.pdf","2026-07-19","evidence/connectivity-and-market/GJ-CONN-2025-001__cable-landing-station-eoi-final.pdf","23","7be1a545c00a16dc163228e1248c4ad9e1590dfd0b3b617e9e732315fa2fd7ed","2","Discovery/market-sounding instrument; superseded by GJ-CONN-2025-002."
"GJ-GOV-2026-001","Gujarat aims to become leading data centre and AI hub","government-and-politics","Akashvani / Prasar Bharati","official broadcaster article","2026-07-09","","","summary only","HTML text","https://newsonair.gov.in/gujarat-aims-to-become-indias-leading-data-centre-and-ai-hub/","2026-07-19","evidence/government-and-politics/GJ-GOV-2026-001__akashvani-policy-launch.html","","bed6ec2f21dfeca18192c10979d40383dc2e94a34af97644a82b4f4596ad95c8","4","Confirms launch; not the operative policy."
"GJ-LAND-2015-001","Dholera Industrial City land allotment policy","land-and-approvals","Dholera Industrial City Development Limited","official policy","","","","full","embedded text","https://dholera.gujarat.gov.in/web/document/download?model=website.documents&field=file&filename_field=Land_Allotment_Policy.pdf&id=1","2026-07-19","evidence/land-and-approvals/GJ-LAND-2015-001__dholera-land-allotment-policy.pdf","99","66a88dbc40ad1593f1cb9daef8cd4424d9dd7691953b538728b70d28a40b5db5","2","Age and later amendments must be checked before transaction reliance."
"GJ-LAND-2022-001","DICDL annual report FY 2021–22","land-and-approvals","Dholera Industrial City Development Limited","official annual report","2022","","","full","embedded text","https://dholera.gujarat.gov.in/web/document/download?model=website.documents&field=file&filename_field=Sixth%20Annual%20Report%20FY%202021-22.pdf&id=141","2026-07-19","evidence/land-and-approvals/GJ-LAND-2022-001__dicdl-annual-report-2021-22.pdf","114","5613cb22ff207e949188c52d148a857d5eb5444f596fa27fdb1e3238756c551e","2","Historical execution evidence."
"GJ-LAND-2023-001","DSIRDA annual report FY 2022–23","land-and-approvals","Dholera Special Investment Regional Development Authority","official annual report","2023","","","full","embedded text","https://dholera.gujarat.gov.in/web/document/download?model=website.documents&field=file&filename_field=Annual%20Report-DSIRDA%202022-23%20(English).pdf&id=134","2026-07-19","evidence/land-and-approvals/GJ-LAND-2023-001__dsirda-annual-report-2022-23.pdf","28","e2ae9010b1e93ef549693c12d9f6aa9cf03146a9d3c34c38ad59a9df959a1acb","2","Historical authority and infrastructure evidence."
"GJ-POL-2022-001","Gujarat IT/ITeS Policy 2022–27","policy-and-law","Government of Gujarat, Department of Science and Technology","official policy","2022-02-07","","","full","image-only / OCR required","https://dstpolicy.gujarat.gov.in/public/assets/itpolicy/document/GR-IT-Policy-2022-2027.pdf","2026-07-19","evidence/policy-and-law/GJ-POL-2022-001__gujarat-it-ites-policy-2022-27.pdf","26","c441b426002a1416069091e35d7b782bbaea07cb3ca915c4bf7fb3678c42f2cb","2","Historical framework; relationship to 2026 DC policy unresolved."
"GJ-POL-2022-002","Implementation Guidelines for Gujarat IT/ITeS Policy 2022–27","policy-and-law","Government of Gujarat, Department of Science and Technology","official implementation guidelines","2022-07-06","","","full","embedded text","https://dstpolicy.gujarat.gov.in/public/assets/itpolicy/document/Implementation-Guidelines_IT_ITeS_Policy_2022-27.pdf","2026-07-19","evidence/policy-and-law/GJ-POL-2022-002__implementation-guidelines.pdf","15","149e6f52707e6108326f75049bd36e878d40286a4757a7d26212fbca5a111924","2","GR No. ITP/10/2021/583612/IT."
"GJ-POL-2024-001","Modification and addendum to Gujarat IT/ITeS Policy 2022–27","policy-and-law","Government of Gujarat, Department of Science and Technology","government resolution","2024-10-11","","","full","image-only / OCR required","https://dstpolicy.gujarat.gov.in/viewPublicDocument/Nw%3D%3D","2026-07-19","evidence/policy-and-law/GJ-POL-2024-001__october-2024-addendum.pdf","13","1b3823df14217818895213e884b6a9b0ce12267ff395471a4d8b2019c65b30be","1","GR No. ITP/10/2021/583612/IT; includes data-centre modification."
"GJ-POL-2024-002","Amendment to IT/ITeS implementation guidelines","policy-and-law","Government of Gujarat, Department of Science and Technology","official guideline amendment","2024","","","full","embedded text","https://dstpolicy.gujarat.gov.in/viewPublicDocument/NA%3D%3D","2026-07-19","evidence/policy-and-law/GJ-POL-2024-002__implementation-guideline-amendment.pdf","2","2624a32c005ad9cb5dbe06a3306504e82bd88adeb5f369187aa695792c776f47","2","Read with 2024 policy addendum."
"GJ-POL-2025-001","EOI for companies seeking data-centre incentives","policy-and-law","Gujarat Informatics Limited / Directorate of ICT and e-Governance","official EOI","2025-01","","","full","embedded text","https://gil.gujarat.gov.in/tendercms/TenderDocs/202537142539708.pdf","2026-07-19","evidence/policy-and-law/GJ-POL-2025-001__data-centre-eoi-final.pdf","16","3da988d0a1607d580656daa870de5f5eb1f2847eada1775e90610fc8e5e4fcec","2","EOI under the pre-2026 framework."
"GJ-POL-2025-002","Data-centre EOI bid document","policy-and-law","Gujarat Informatics Limited / Directorate of ICT and e-Governance","official bid document","2025-01","","","full","embedded text","https://gil.gujarat.gov.in/tendercms/TenderDocs/2025129145853545.pdf","2026-07-19","evidence/policy-and-law/GJ-POL-2025-002__eoi-bid-document.pdf","16","02c7255f8ff19a907a62ba50564a9e1ce0549199454182abb9ec29921183a0e0","2","Tender metadata and submission structure."
"GJ-POW-2023-001","Gujarat Renewable Energy Policy 2023","power","Government of Gujarat, Energy and Petrochemicals Department","government policy","2023-10-04","","2028-09-30","full","embedded text","https://guj-epd.gujarat.gov.in/Home/GujaratREPolicy","2026-07-19","evidence/power/GJ-POW-2023-001__renewable-energy-policy.pdf","28","7138635321e9ec5d5af9e44a35045c41e2f93b17fe9af45d2deddeab2bf12231","2","Read with transition provisions in the 2025 policy."
"GJ-POW-2023-002","Executive procedure for RE projects under Gujarat RE Policy 2023","power","Gujarat Energy Development Agency","official implementation procedure","2023","","","full","embedded text","https://geda.gujarat.gov.in/Gallery/Media_Gallery/2Executive_Procedure_for_RE_Project_under_Gujarat_RE_Policy_2023.pdf","2026-07-19","evidence/power/GJ-POW-2023-002__re-policy-executive-procedure.pdf","24","d5ce56e609c23826e40d2eeae2a57eaec0d6a4cd8394ad41a5020c94d292bc4f","2","Implementation procedure for the 2023 policy."
"GJ-POW-2024-001","GERC Green Energy Open Access Regulations 2024","power","Gujarat Electricity Regulatory Commission","regulation","2024","","","full","embedded text","https://gercin.org/wp-content/uploads/2024/02/GERC-Terms-and-Conditions-for-Green-Energy-Open-Access-Regulations2024.pdf","2026-07-19","evidence/power/GJ-POW-2024-001__green-energy-open-access-regulations.pdf","28","ea76fc366661e37f8fcabcf5a43df45790242e4483500be6160058b3f39d00c1","1","Base regulation; apply all amendments below."
"GJ-POW-2024-002","GERC GEOA First Amendment 2024","power","Gujarat Electricity Regulatory Commission","gazetted amendment","2024","","","full","embedded text","https://gercin.org/wp-content/uploads/2024/09/Gazette-GERC-GEOA-Amendment-Regulations-2024.pdf","2026-07-19","evidence/power/GJ-POW-2024-002__geoa-first-amendment.pdf","3","f2eba38622a3a04e19cd1c84009b32ac1cc8f64cafb38559480a467eacf4db57","1","First amendment."
"GJ-POW-2025-001","GERC GEOA Second Amendment 2025","power","Gujarat Electricity Regulatory Commission","gazetted amendment","2025","","","full","embedded text","https://gercin.org/wp-content/uploads/2025/04/GERC-Terms-and-Conditions-for-Green-Open-Access-Second-AmendmentRegulations-2025.pdf","2026-07-19","evidence/power/GJ-POW-2025-001__geoa-second-amendment.pdf","3","b85828dd2e29955c9df6d2dc7c6c64689b9a5f105205a71df119c2857f4a495b","1","Second amendment."
"GJ-POW-2025-002","GERC GEOA Third Amendment 2025","power","Gujarat Electricity Regulatory Commission","gazetted amendment","2025","","","full","embedded text","https://gercin.org/wp-content/uploads/2025/09/Gazette-notification.pdf","2026-07-19","evidence/power/GJ-POW-2025-002__geoa-third-amendment.pdf","3","28df91be914fe6c6bf41c2abd822812c653f7c5285ccb3961363167d41033e05","1","Third amendment."
"GJ-POW-2025-003","GERC Renewable Purchase Obligation Regulations 2025","power","Gujarat Electricity Regulatory Commission","regulation","2025","","","full","embedded text","https://gercin.org/wp-content/uploads/2025/08/ViewPdf2.pdf","2026-07-19","evidence/power/GJ-POW-2025-003__renewable-purchase-obligation-regulations.pdf","31","6f42133964d629758681fe2c0c12809085f87ed439d2a4ff428df4863b553b97","1","Current RPO framework located during search."
"GJ-POW-2025-004","Gujarat Integrated Renewable Energy Policy 2025","power","Government of Gujarat, Energy and Petrochemicals Department","government resolution / policy","2025-12-24","","","full","image-only / OCR required","https://guj-epd.gujarat.gov.in/Home/GujaratREPolicy","2026-07-19","evidence/power/GJ-POW-2025-004__integrated-renewable-energy-policy.pdf","41","1e47b08473e7ab51a0d6b4225665dbfc78f500836ee7f7104723cc8f5f97944d","1","GR No. EPCD/REN/e-file/20/2025/1966/B1; contains continuity provisions."
"GJ-POW-2026-001","GIFT PCL tariff schedule FY 2026–27","power","Gujarat Electricity Regulatory Commission","tariff schedule","2026-03","2026-04-01","","full","embedded text","https://gercin.org/wp-content/uploads/2026/03/TARIFF-SCHEDULE-of-GIFT-PCL-w.e.f.-01.04.2026.pdf","2026-07-19","evidence/power/GJ-POW-2026-001__gift-pcl-tariff-schedule.pdf","29","6f42dce6d3522809fa482a2bf61bf2a946e72bd8465150253eeaf16311c524b3","1","Applicable GIFT distribution tariff schedule."
"GJ-POW-2026-002","GIFT PCL tariff order FY 2026–27","power","Gujarat Electricity Regulatory Commission","tariff order","2026-03-25","2026-04-01","","full","embedded text","https://gercin.org/wp-content/uploads/2026/03/GIFTPCL2590-2025-Tariff-Order-for-FY-2026-27-dtd.-25.03.2026.pdf","2026-07-19","evidence/power/GJ-POW-2026-002__gift-pcl-tariff-order.pdf","174","5c6deec64b8edf44e6e6ae1360dd008f61e472bdf60bd30f998c5cd269ef8354","1","Case No. 2590 of 2025."
"GJ-POW-2026-003","GERC GEOA Fourth Amendment 2026","power","Gujarat Electricity Regulatory Commission","gazetted amendment","2026-04","","","full","embedded text","https://gercin.org/wp-content/uploads/2026/04/Final-GEOA-4th-Amendment-2026-Gazette.pdf","2026-07-19","evidence/power/GJ-POW-2026-003__geoa-fourth-amendment.pdf","3","1979ce61c3facdaa8009b09957cc3fddf2896abbe2c512e92b55458bc9c38066","1","Fourth amendment."
"GJ-POW-2026-004","GERC GEOA Fifth Amendment 2026","power","Gujarat Electricity Regulatory Commission","gazetted amendment","2026-06","","","full","embedded text","https://gercin.org/wp-content/uploads/2026/06/gazette-copy.pdf","2026-07-19","evidence/power/GJ-POW-2026-004__geoa-fifth-amendment.pdf","3","e8c8fd9ebc3442a8006c2496c0e521708285634ae8c35bb1c9053b439a9db199","1","Fifth amendment; draft sixth amendment not treated as operative."
"GJ-POW-2026-005","Additional surcharge for open-access consumers, April–September 2026","power","Gujarat Electricity Regulatory Commission","regulatory order","2026-03-17","2026-04-01","2026-09-30","full","embedded text","https://gercin.org/wp-content/uploads/2026/03/Order-Addl.-Surcharge-payable-by-OA-consumers-for-the-period-01.04.26-to-30.09.26-dtd.-17.03.2026.pdf","2026-07-19","evidence/power/GJ-POW-2026-005__additional-surcharge-apr-sep-2026.pdf","3","d152595cd90e53240a0160500604fa63c5a3bcdd4d244f331e7dd2fc97ab192e","1","Time-limited order; refresh after 2026-09-30."
"GJ-POW-2026-006","TPL-D Dholera tariff order FY 2026–27","power","Gujarat Electricity Regulatory Commission","tariff order","2026-03-25","2026-04-01","","full","embedded text","https://www.torrentpower.com/public/pdf/regulatory/TPL-D-Dholera-2588-2025-Tariff-Order-for-FY-2026-27.pdf","2026-07-19","evidence/power/GJ-POW-2026-006__tpl-dholera-tariff-order-fy2026-27.pdf","57","ed65b9d9fb9c82f27cbeb4a6903734c56125d1a54b58edc3570d21f432511205","1","GERC Case No. 2588 of 2025, archived from licensee mirror."
"GJ-PROJ-2010-001","Gujarat State Data Centre official page","projects-and-case-studies","Government of Gujarat, Department of Science and Technology","official webpage","","","","full page capture","HTML text","https://dst.gujarat.gov.in/Home/GujaratStateDataCenter","2026-07-19","evidence/projects-and-case-studies/GJ-PROJ-2010-001__gujarat-state-data-centre.html","","9f7275a63f9ae731b4eafe5033ad2f514b03fdac89e0bf1003a6f2389a15ff5e","2","Official page says established 2010; conflicting operational-date claim elsewhere needs reconciliation."
"GJ-PROJ-2015-001","GIFT data centre / STT Ahmedabad DC1 official page","projects-and-case-studies","GIFT City","official infrastructure webpage","","","","full page capture","HTML text","https://giftgujarat.in/infrastructure/data-centre","2026-07-19","evidence/projects-and-case-studies/GJ-PROJ-2015-001__gift-stt-ahmedabad-dc1.html","","b4b9e6fbc58cf408d0eee6f48e530fe8b8933aace3565d562da1ceab0a4ba8c6","2","Facility and GIFT relationship; pair with STT factsheet."
"GJ-PROJ-2026-001","Gujarat signs agreement with L&T Vyoma for Dholera AI data centre","projects-and-case-studies","Akashvani / Prasar Bharati","official broadcaster article","2026","","","summary only","HTML text","https://newsonair.gov.in/gujarat-signs-agreement-with-larsen-toubro-vyoma-to-build-ai-data-center-in-dholera/","2026-07-19","evidence/projects-and-case-studies/GJ-PROJ-2026-001__akashvani-lt-vyoma-dholera.html","","94ec3cc6dcedd9a3fe85a9bd85b6cd672091f2de4931df36d5926dcb42ac1743","4","Does not prove project execution beyond announcement/MoU."
"GJ-TRANS-2026-001","CM launches Viksit Gujarat Data Centre Policy in Gandhinagar","transcripts-and-datasets","Chief Minister's Office, Government of Gujarat","official video","2026-07-09","","","full video; user transcript available","captions unavailable","https://www.youtube.com/watch?v=pHhimjxK9RU","2026-07-19","evidence/transcripts-and-datasets/GJ-TRANS-2026-001__policy-launch-video.md","","1a961fcfade64c14375668fa3af1a3468d031db28f263b202806ec95076a3174","2","47:46 verified video; user-supplied edited transcript is GJ-TRANS-2026-002."
"GJ-CONN-2025-002","Revised EOI for cable landing stations in Gujarat","connectivity-and-market","Directorate of ICT and e-Governance, Department of Science and Technology","official EOI","2025-07-02","","","full; supersedes January EOI","embedded text","https://directorit.gujarat.gov.in/Content/downloads/EoI_CLS_V2_11_08_2025.pdf","2026-07-19","evidence/connectivity-and-market/GJ-CONN-2025-002__cls-eoi-v2-july-2025.pdf","22","114e716163511dc1c7ebc91717cc476ef46f65a78b1affcbbc29c837220475db","2","EOI No. DIT/ITP/EOI/0725/001; removes prior turnover/experience tests and clarifies eligible GFCI; not an award."
"GJ-CONN-2026-001","India data-centre capacity and submarine-cable systems","connectivity-and-market","Press Information Bureau / Ministry of Electronics and Information Technology","official parliamentary-answer release","2026-03-18","","","full page capture","HTML text","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241783&reg=6&lang=1","2026-07-19","evidence/connectivity-and-market/GJ-CONN-2026-001__pib-india-dc-capacity-and-cls.html","","da3ef7224905433d4efb07c96e1d9d709ee20e791122192f1e202c049e982d3b","2","National benchmark; Gujarat absent from major-city capacity and listed operational/planned CLS tables as of the answer date."
"GJ-GOV-2026-002","Official Gujarat launch press release","government-and-politics","Government of Gujarat, Directorate of Information / Department of Science and Technology","official press-release API record","2026-07-09","","","full structured record","JSON with embedded HTML text","https://gujaratinformation.gujarat.gov.in/PressReleaseDetailsL/?id=46535&DepId=57&DistrictId=35&LanguageId=1","2026-07-19","evidence/government-and-politics/GJ-GOV-2026-002__gujarat-information-policy-launch.json","","05abf381c7158e6d622ac534f7a8461bf4bafc8e5b5bf133d358ba12b8adf1c6","2","Official launch narrative; confirms 7.5 GW plan, 51% green-energy requirement and desalination positioning, but not clause-level legal text. Raw dynamic-page shell is retained alongside the JSON."
"GJ-POL-2026-001","Viksit Gujarat Data Center Policy 2026–2029","policy-and-law","Government of Gujarat, Department of Science and Technology","official policy booklet; user-confirmed official copy","2026","","","full official 16-page booklet","embedded text","https://vainetra.com/wp-content/uploads/2026/07/gujarat-data-centre-policy.pdf","2026-07-19","evidence/policy-and-law/GJ-POL-2026-001__viksit-gujarat-data-centre-policy-mirror.pdf","16","860a61cba19f9b98bef54510a1e5c8b7110f66bd557336365ef394bad57d80e9","1","User confirmed this is the official policy PDF; Vainetra is recorded only as the retrieval host. The booklet states it operates from notification, but does not print the notification/GR date or number, and page 8 contains an XXXXXX in-principle-approval deadline placeholder requiring implementation clarification."
"GJ-POL-2026-002","DST policy portal launch status","policy-and-law","Government of Gujarat, DST Incentive Management Portal","official portal page","2026-07-19","","","full page capture","HTML text","https://dstpolicy.gujarat.gov.in/","2026-07-19","evidence/policy-and-law/GJ-POL-2026-002__dst-policy-portal-launch-status.html","","50ea76b95b85b48719376414d44d75b793620c2983d1b5886887b9464b17689c","2","Confirms policy launched 09/07/2026 and application portal remains under development; no booklet download exposed."
"GJ-PROJ-2026-002","L&T Vyoma signs ₹25,000 crore MoU for 250 MW Dholera AI data centre","projects-and-case-studies","Angel One","secondary financial-news article","2026-02-23","","","full page capture","HTML text","https://www.angelone.in/news/market-updates/l-t-vyoma-signs-25-000-crore-mou-for-250-mw-green-ai-data-centre-in-dholera-gujarat","2026-07-19","evidence/projects-and-case-studies/GJ-PROJ-2026-002__angel-one-lt-vyoma-dholera.html","","688b17198370a9ca54ff8ea957126e1ef377445d8caabc2f8c3f2d42e90bacbb","4","Adds proposed capacity, investment and counterparty detail; no L&T/NSE/BSE primary disclosure located."
"GJ-TRANS-2026-002","Viksit Gujarat Data Centre Policy bilingual transcript","transcripts-and-datasets","User supplied; derived from CMO Gujarat launch video","edited research transcript","2026-07-19","","","substantially complete; not official or verbatim","Markdown text","https://www.youtube.com/watch?v=pHhimjxK9RU","2026-07-19","evidence/transcripts-and-datasets/GJ-TRANS-2026-002__bilingual-policy-launch-transcript.md","","fb05ee5bb33e1cd9975d122578e5b7866d6122782653696c81699ab59c0d2eab","5","Cleaned English rendering plus timestamped original-language text; file duration 47:26 versus YouTube 47:46; verify claims against video."
